S.N.,DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
563,Surendranagar,Anindra,7.42,464,311.0,0,171.0,21.0,3.1,39.0,0.77,140.0,48.0,7.3,150.0,30,5.9,1.1
564,Surendranagar,Sara,7.44,2346,1572.0,0,244.0,539.0,17.0,200.0,1.1,200.0,100.0,39.0,410.0,327,3.1,7.0
565,Surendranagar,Jhinjhuvada,7.52,900,603.0,0,427.0,64.0,1.6,33.0,0.74,350.0,52.0,32.0,260.0,85,20.0,2.3
566,Surendranagar,Sudamba,7.86,3022,2025.0,0,390.0,546.0,207.0,255.0,0.76,320.0,261.0,85.0,1001.0,211,3.3,2.9
567,Surendranagar,Baman Bor,7.5,1458,977.0,0,366.06,177.0,85.0,138.0,0.73,300.0,152.0,44.0,560.448,79,1.6,1.5
568,Surendranagar,Lakhtar,7.63,830,556.0,0,353.858,71.0,2.7,39.0,2.1,290.0,64.0,15.0,220.176,89,9.4,2.6
569,Surendranagar,Tarnetar,7.54,4522,3030.0,0,292.848,1170.0,12.0,378.0,0.84,240.0,156.0,83.0,730.584,674,4.6,10.8
570,Surendranagar,Dhangadhara,7.58,2304,1544.0,0,280.646,383.0,5.9,410.0,0.57,230.0,208.0,66.0,790.632,168,7.4,2.6
571,Surendranagar,Shiyani,7.81,1920,1286.0,0,244.04,383.0,1.0,255.0,0.36,200.0,96.0,29.0,360.288,276,6.4,6.3
572,Surendranagar,Visawadi,7.24,4205,2817.0,0,219.636,1262.0,13.0,163.0,0.31,180.0,393.0,158.0,1631.3,195,28.0,2.1
573,Surendranagar,Sarla,7.49,2095,1404.0,0,512.484,369.0,32.0,54.0,1.8,420.0,148.0,61.0,620.496,170,55.0,3.0
574,Surendranagar,Dhama,8.05,3350,2245.0,0,488.08,510.0,135.0,430.0,2.4,400.0,96.0,85.0,590.472,408,182.0,7.3
575,Vadodara,ONGC,8.59,3301,2211.67,72,683.0,596.0,1.7,140.0,1.5,680.0,20.04,77.824,370.0,587,1.5,13.27
576,Vadodara,Kevda Bag,7.6,700,469.0,0,329.0,50.0,7.1,26.0,0.79,270.0,32.064,19.456,160.0,92,9.8,3.16
577,Vadodara,Masor,7.89,1290,864.3,0,781.0,35.0,2.4,12.0,2.8,641.0,12.024,12.16,80.0,290,1.4,14.1
578,Vadodra,Rasulpura,7.64,975,653.25,0,390.0,113.0,23.0,39.0,0.41,320.0,56.112,68.096,420.0,50,0.82,1.06
579,Vadodra,Saidal,7.65,3063,2052.21,0,403.0,652.0,159.0,158.0,0.85,331.0,80.16,182.4,951.0,264,3.0,3.72
580,Vadodra,Amreshwar,7.86,615,412.05,0,293.0,57.0,0.16,11.0,0.51,240.0,60.12,12.16,200.0,64,0.89,1.97
581,Vadodra,Patiyapura,7.93,1530,1025.1,0,476.0,213.0,71.0,97.0,0.63,390.0,56.112,114.304,610.0,109,0.72,1.92
582,Vadodra,Sinor,8.2,1079,722.93,0,500.0,64.0,45.0,40.0,0.75,410.0,40.08,85.12,450.0,67,0.73,1.37
583,Vadodra,Vega,8.18,1522,1019.74,0,573.0,177.0,8.6,104.0,0.45,470.0,104.208,38.912,420.0,170,31.0,3.61
584,Vadodra,Tundav,7.89,1929,1292.43,0,439.0,305.0,63.0,178.0,1.7,360.0,68.136,38.912,330.0,296,26.0,7.08
585,Vadodra,Juna Somaliya,8.08,1235,827.45,0,366.0,220.0,12.0,32.0,0.79,300.0,40.08,41.344,270.0,166,0.65,4.39
586,Vadodra,Chhaliyar,8.35,1236,828.12,36,586.0,64.0,33.0,19.0,2.0,541.0,20.04,17.024,120.0,254,0.41,10.08
587,Vadodra,Vejpur,8.66,3522,2359.74,96,744.0,681.0,2.1,173.0,2.3,770.0,24.048,55.936,290.0,760,6.4,19.4
588,Valsad,Dharampur 3,7.83,497,332.99,0,195.0,43.0,25.0,23.0,0.28,160.0,48.0,19.0,200.0,34,0.28,1.08
589,Valsad,Awadha,8.15,1396,935.32,0,366.0,284.0,15.0,82.0,0.22,300.0,60.0,95.0,540.0,105,0.22,1.96
590,Valsad,Lakadmal,7.23,714,478.38,0,305.0,71.0,4.0,31.0,5.81,250.0,20.0,56.0,280.0,50,5.81,1.31
591,Valsad,Mandwa,7.89,560,375.2,0,256.0,57.0,6.0,16.0,0.42,210.0,88.0,5.0,240.0,33,0.42,0.92
592,Valsad,Kaparda,8.25,447,299.49,0,195.0,36.0,6.0,19.0,0.66,160.0,44.0,22.0,200.0,20,1.98,0.61
593,Valsad,Chavshala,7.95,566,379.22,0,220.0,64.0,6.0,31.0,0.43,180.0,52.0,19.0,210.0,40,0.33,1.2
594,Valsad,Fali,8.2,432,289.44,0,134.0,50.0,25.0,28.0,0.26,110.0,44.0,17.0,180.0,21,5.21,0.67
595,Valsad,Karwad,8.07,237,158.79,0,73.0,21.0,25.0,21.0,0.3,60.0,32.0,2.0,90.0,17,0.8,0.78
596,Valsad,Balitha (Vapi),8.02,230,154.1,0,73.0,21.0,25.0,17.0,0.11,60.0,20.0,12.0,100.0,8,4.47,0.37
597,Valsad,Bhilad,6.99,356,238.52,0,171.0,28.0,3.0,15.0,0.15,140.0,40.0,15.0,160.0,16,1.36,0.55
598,Valsad,Tumb,7.97,668,447.56,0,281.0,71.0,4.0,4.0,0.22,230.0,56.0,24.0,240.0,45,8.1,1.26
599,Valsad,Umargaon,8.03,641,429.47,0,281.0,57.0,12.0,50.0,0.34,230.0,56.0,22.0,230.0,59,0.54,1.68
600,Valsad,Kanadu,7.63,943,631.81,0,366.0,114.0,24.0,58.0,0.28,300.0,80.0,49.0,400.0,57,0.24,1.25
601,Valsad,Udwada,8.07,820,549.4,0,220.0,128.0,30.0,75.0,0.44,180.0,64.0,44.0,340.0,54,0.49,1.27
